name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
Don't Do That (One 4 Spec),['MentPlus'],2020-05-29,0.8,0.872,0.8029999999999999,0.106,0.903,0.0981,83577,0.9190723937075906,100.0,False
Intro,['Sensational Meets Kouhei'],2006-06-06,0.621,0.307,0.695,0.0638,0.923,0.0853,106773,0.9108460207652604,99.99986142579004,False
Full Figure Pockets (Pay Jay),['Madlib'],2009-02-10,0.784,0.247,0.754,0.0983,0.382,0.0962,98747,0.8991622551958613,99.9997228515801,False
Act A Fool Interlude,['Lyrica Anderson'],2020-08-14,0.784,0.51,0.31,0.711,0.945,0.0913,28625,0.8920066343163814,99.99958427737013,False
Interlude - O Samba : Sargentelli,['Rica Amabis'],,0.765,0.2019999999999999,0.8059999999999999,0.918,0.526,0.0975,30040,0.8919689249195234,99.99944570316018,False
Nagbe,['Lionel Loueke'],2005-12-06,0.597,0.2189999999999999,0.8590000000000001,0.0113,0.361,0.0912,84973,0.8901489430021451,99.99930712895024,False
Everybody Knows,['Noah Peterson'],2013-03-30,0.7879999999999999,0.7390000000000001,0.978,0.27,0.715,0.0939,214653,0.8898332207709327,99.99916855474028,False
(Lover's Interlude.),['Keem the Cipher'],2017-04-10,0.513,0.494,0.259,0.46,0.917,0.0989,63582,0.8864690253213272,99.99902998053032,False
Barbwire Dub,['Augustus Pablo'],2007-01-24,0.7340000000000001,0.208,0.547,0.000484,0.457,0.0901,138840,0.8845329839239132,99.99889140632037,False
Too Much Gin (Interlude),['Professor Elemental'],2012-10-28,0.774,0.4589999999999999,0.908,0.155,0.0944,0.0985,32550,0.8834988444083254,99.99875283211041,False
Secar Nwotpmac,['Jay Linden'],2006-06-14,0.773,0.289,0.982,0.996,0.546,0.0884,24453,0.8831820664797586,99.99861425790047,False
The Chess Sickness,['Rene Hell'],2013-10-18,0.743,0.46,0.0373,0.102,0.7170000000000001,0.0878,27533,0.8806229365999695,99.99847568369051,False
Mambobola (Reprise),['Zsa Zsa Padilla'],2009-11-17,0.7979999999999999,0.391,0.841,0.134,0.0703,0.0983,53307,0.8804505606239624,99.99833710948054,False
Dallas Texan (feat. Yung Smoke) - Remix,"['Triple Play', 'Yung Smoke']",2016-09-24,0.975,0.6659999999999999,0.81,0.0494,0.313,0.0986,213134,0.8802644699545529,99.9981985352706,False
Bad Day,['Heather Edwards'],2007-05-11,0.6940000000000001,0.785,0.974,0.444,0.64,0.0834,28813,0.8793250720066655,99.99805996106065,False
